,oid,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,pmra,pmdec,plx_value,rvz_radvel,otype,otypes,sp_type,U,B,V,G,R,I,J,H,K,CalType
38,849050,* sig Col,89.08726344451,-31.38243892075,0.034,0.0355,90,0.692,6.51,2.2952,19.4,*,*|IR|NIR|UV,F2III,,5.900000095367432,5.510000228881836,5.416100025177002,,,4.416999816894531,4.553999900817871,4.429999828338623,ImagCorr_5.5
39,2395299,HD 177074,286.10440681372,-31.047080571049996,0.0603,0.0623,90,3.81,-19.721,6.7702,-24.12,*,*|NIR|UV,A0V,,5.51200008392334,5.48199987411499,5.466169834136963,,,5.453999996185303,5.308000087738037,5.241000175476074,ImagCorr_5.5
40,507099,HD  86378,149.96536301727,56.81180649952,0.0393,0.0407,90,-30.469,-28.054,6.9448,-15.96,*,*|IR|NIR,K5III,,6.974999904632568,5.485000133514404,4.937759876251221,,,2.992000102996826,2.234999895095825,1.965000033378601,ImagCorr_5.5
41,199164,*  12 Cep,326.85539723242,60.69268873649001,0.0706,0.0734,90,-9.94,-2.3,7.8978,-21.03,*,*|IR|NIR,M1III,,7.056000232696533,5.513999938964844,4.8438401222229,,,2.75600004196167,2.1080000400543213,1.7970000505447388,ImagCorr_5.5
42,1341788,*  30 Aqr,330.81857563765,-6.522407351809999,0.1005,0.0779,90,45.517,8.126,10.7574,39.74,*,*|IR|NIR|UV,K1IV,,6.51200008392334,5.543000221252441,5.297130107879639,,,4.164999961853027,3.615000009536743,3.5209999084472656,ImagCorr_5.5
43,2709105,* tau Aql,301.0346453325,7.277964387570001,0.0456,0.0278,90,14.201,12.049,6.0972,-28.938601,*,*|IR|NIR|X,K0III,,6.564000129699707,5.507999897003174,5.223519802093506,,,3.930000066757202,3.309999942779541,3.200000047683716,ImagCorr_5.5
44,1316594,*  47 Cet,21.7148532012,-13.056511098460001,0.0447,0.0237,90,13.929,9.616,28.232,11.374,*,*|IR|NIR|UV,F0.5V,,5.808000087738037,5.505000114440918,5.435699939727783,,,5.138999938964844,4.830999851226807,4.7129998207092285,ImagCorr_5.5
45,2645740,*  66 Aql,303.30785352675,-1.00936338722,0.5204,0.3841,90,20.765,-19.951,5.1698,-32.37,*,*|IR|NIR,K4III,8.199999809265137,6.900000095367432,5.46999979019165,4.859189987182617,,,2.640000104904175,1.8869999647140503,1.649999976158142,ImagCorr_5.5
46,1973301,HD 110666,191.00221374836997,-28.323957499660004,0.0867,0.0418,90,-29.439,-39.459,7.692,7.1,*,*|IR|NIR,K3III,,6.807000160217285,5.453999996185303,5.025879859924316,,,3.2149999141693115,2.51200008392334,2.3389999866485596,ImagCorr_5.5
47,3020537,HD  67364,121.26545523059002,-53.10792097318,0.0365,0.0425,90,2.651,-2.719,8.5687,18.3,*,*|IR|NIR|RG*,K3/4III,,6.855999946594238,5.508999824523926,5.08912992477417,,,3.4630000591278076,2.7360000610351562,2.566999912261963,ImagCorr_5.5
48,408579,HD 107193,184.70827162004997,75.16056071392,0.0481,0.0482,90,-35.386,4.028,10.169,-4.32,*,*|IR|NIR|UV|X,A1V,,5.504000186920166,5.460000038146973,5.447879791259766,,,5.263999938964844,5.289999961853027,5.256999969482422,ImagCorr_5.5
49,3290848,* tau Oct,352.01577299963,-87.48221293608,0.0522,0.05,90,16.782,11.957,6.8009,36.75,*,*|IR|NIR,K2III,,6.760000228881836,5.489999771118164,5.090439796447754,,,3.2230000495910645,2.5220000743865967,2.378999948501587,ImagCorr_5.5
50,3142013,HD  93037,160.97661640464,-43.74673935947,0.0129,0.0146,90,-13.772,7.465,1.9927,10.6,*,*|NIR,K3III,,9.930000305175781,8.460000038146973,7.961830139160156,,,5.974999904632568,5.2829999923706055,5.068999767303467,ImagCorr_8.5
51,2741731,HD 198459,312.5495972285,12.08367877797,0.0354,0.0235,90,2.875,2.422,1.3145,-13.9,*,*|NIR|UV,A0,,8.4399995803833,8.479999542236328,8.457209587097168,,,8.515999794006348,8.560999870300293,8.567000389099121,ImagCorr_8.5
